"Month","Drywhite","Fortified","Red","Rose","Sparkling","Sweetwhite"
"1991-06",3244,2757,2207,65,1540,105
"1991-07",3965,3425,2822,96,2214,228
"1991-08",3315,3006,2393,55,1857,214
"1991-09",3333,2369,2306,71,2408,189
"1991-10",3583,2017,1785,63,3252,270
"1991-11",4021,2507,2047,74,3627,277
"1991-12",4904,3168,2171,106,6153,378
"1992-01",2252,1545,1212,34,1577,185
"1992-02",2952,1643,1335,47,1667,182
"1992-03",3573,2112,2011,56,1993,258
"1992-04",3048,2415,1860,53,1997,179
"1992-05",3059,2862,1954,53,1783,197
"1992-06",2731,2822,2152,55,1625,168
"1992-07",3563,3260,2835,67,2076,250
"1992-08",3092,2606,2224,52,1773,211
"1992-09",3478,2264,2182,46,2377,260
"1992-10",3478,2250,1992,51,3088,234
"1992-11",4308,2545,2389,58,4096,305
"1992-12",5029,2856,2724,91,6119,347
"1993-01",2075,1208,891,33,1494,203
"1993-02",3264,1412,1247,40,1564,217
"1993-03",3308,1964,2017,46,1898,227
"1993-04",3688,2018,2257,45,2121,242
"1993-05",3136,2329,2255,41,1831,185
"1993-06",2824,2660,2255,55,1515,175
"1993-07",3644,2923,3057,57,2048,252
"1993-08",4694,2626,3330,54,2795,319
"1993-09",2914,2132,1896,46,1749,202
"1993-10",3686,1772,2096,52,3339,254
"1993-11",4358,2526,2374,48,4227,336
"1993-12",5587,2755,2535,77,6410,431
"1994-01",2265,1154,1041,30,1197,150
"1994-02",3685,1568,1728,35,1968,280
"1994-03",3754,1965,2201,42,1720,187
"1994-04",3708,2659,2455,48,1725,279
"1994-05",3210,2354,2204,44,1674,193
"1994-06",3517,2592,2660,45,1693,227
"1994-07",3905,2714,3670,,2031,225
"1994-08",3670,2294,2665,,1495,205
"1994-09",4221,2416,2639,46,2968,259
"1994-10",4404,2016,2226,51,3385,254
"1994-11",5086,2799,2586,63,3729,275
"1994-12",5725,2467,2684,84,5999,394
"1995-01",2367,1153,1185,30,1070,159
"1995-02",3819,1482,1749,39,1402,230
"1995-03",4067,1818,2459,45,1897,188
"1995-04",4022,2262,2618,52,1862,195
"1995-05",3937,2612,2585,28,1670,189
"1995-06",4365,2967,3310,40,1688,220
"1995-07",4290,3179,3923,62,2031,274
